Transaction ID,Order ID,Transaction Date,Sale Price,VAT Amount,TDS Fee,Payment Provider Fee,Net Payable,Remaining VAT,Total Payable,Payable Date,Status,Portal,Invoice ID,Invoice URL,Payment Provider,Notes,Buyer ID,Seller ID,Product ID
TRX-1001,1,2024-03-01T10:15:00Z,1500.0,300.0,75.0,30.0,1095.0,0.0,1200.0,2024-03-15,PENDING,TDS,INV-2024-0001,https://cdn.tds.local/invoices/INV-2024-0001.pdf,Stripe,Initial transaction for EU dataset,1,1,1
TRX-1002,2,2024-03-05T09:45:00Z,7000.0,1400.0,350.0,80.0,5170.0,0.0,5600.0,2024-03-20,PAID,DD_PORTAL,INV-2024-0002,https://cdn.dd-portal.local/invoices/INV-2024-0002.pdf,PayPal,Subscription payout for NA SMB leads,2,2,2
TRX-1003,3,2024-03-12T14:10:00Z,950.0,190.0,47.5,20.0,692.5,0.0,760.0,2024-03-28,PENDING,AD_PORTAL,INV-2024-0003,https://cdn.ad-portal.local/invoices/INV-2024-0003.pdf,Stripe,Preorder payment for APAC SaaS dataset,3,3,3
TRX-2001,1,2024-03-18T11:05:00Z,1525.00,305.00,76.25,27.45,1116.30,0.00,1421.30,2024-03-30,PAID,TDS,INV-2024-0101,https://cdn.tds.local/invoices/INV-2024-0101.pdf,Stripe,Clearing after compliance update,1,1,1
TRX-2002,1,2024-03-22T08:50:00Z,1580.00,316.00,79.00,28.44,1156.56,0.00,1472.56,2024-04-03,SETTLED,TDS,INV-2024-0102,https://cdn.tds.local/invoices/INV-2024-0102.pdf,Adyen,Quarter-end settlement adjustment,1,1,1
TRX-2003,1,2024-03-25T16:12:00Z,1490.00,298.00,74.50,26.82,1194.98,104.30,1388.68,2024-04-06,ON_HOLD,TDS,INV-2024-0103,https://cdn.tds.local/invoices/INV-2024-0103.pdf,Stripe,Awaiting buyer VAT verification,1,1,1
TRX-2004,1,2024-03-28T12:33:00Z,1635.50,327.10,81.78,29.44,1197.18,0.00,1524.28,2024-04-09,PAID,TDS,INV-2024-0104,https://cdn.tds.local/invoices/INV-2024-0104.pdf,Braintree,Reconciliation payout for March cycle,1,1,1
TRX-2005,1,2024-04-01T09:22:00Z,1555.00,311.00,77.75,27.99,1278.21,139.95,1449.26,2024-04-13,IN_REVIEW,TDS,INV-2024-0105,https://cdn.tds.local/invoices/INV-2024-0105.pdf,Stripe,Manual review triggered by VAT delta,1,1,1
TRX-2006,1,2024-04-05T15:40:00Z,1600.00,320.00,80.00,28.80,1171.20,0.00,1491.20,2024-04-17,PAID,TDS,INV-2024-0106,https://cdn.tds.local/invoices/INV-2024-0106.pdf,Adyen,Standard payout released on schedule,1,1,1
TRX-2007,1,2024-04-09T10:18:00Z,1512.00,302.40,75.60,27.22,1182.38,75.60,1409.18,2024-04-21,AWAITING_CLEARANCE,TDS,INV-2024-0107,https://cdn.tds.local/invoices/INV-2024-0107.pdf,Stripe,Clearing bank pending AML confirmation,1,1,1
TRX-2101,2,2024-03-10T07:45:00Z,7100.00,1420.00,355.00,127.80,5197.20,0.00,6617.20,2024-03-22,PAID,DD_PORTAL,INV-2024-0201,https://cdn.dd-portal.local/invoices/INV-2024-0201.pdf,PayPal,Monthly subscription settlement batch A,2,2,2
TRX-2102,2,2024-03-14T13:05:00Z,7350.00,1470.00,367.50,132.30,5380.20,0.00,6850.20,2024-03-26,SETTLED,DD_PORTAL,INV-2024-0202,https://cdn.dd-portal.local/invoices/INV-2024-0202.pdf,Worldpay,Partner uplift for premium tier upgrade,2,2,2
TRX-2103,2,2024-03-19T17:48:00Z,6900.00,1380.00,345.00,124.20,5188.80,138.00,6430.80,2024-03-31,PAID,DD_PORTAL,INV-2024-0203,https://cdn.dd-portal.local/invoices/INV-2024-0203.pdf,Checkout.com,Partial payout with VAT reserve top-up,2,2,2
TRX-2104,2,2024-03-23T09:26:00Z,7425.00,1485.00,371.25,133.65,6029.10,594.00,6920.10,2024-04-04,ON_HOLD,DD_PORTAL,INV-2024-0204,https://cdn.dd-portal.local/invoices/INV-2024-0204.pdf,PayPal,Hold applied pending anti-fraud screening,2,2,2
TRX-2105,2,2024-03-27T15:14:00Z,7580.00,1516.00,379.00,136.44,6306.56,758.00,7064.56,2024-04-08,MANUAL_REVIEW,DD_PORTAL,INV-2024-0205,https://cdn.dd-portal.local/invoices/INV-2024-0205.pdf,Worldpay,Escalated due to unmatched payout account,2,2,2
TRX-2106,2,2024-04-02T11:08:00Z,7200.00,1440.00,360.00,129.60,5270.40,0.00,6710.40,2024-04-14,SETTLED,DD_PORTAL,INV-2024-0206,https://cdn.dd-portal.local/invoices/INV-2024-0206.pdf,PayPal,Backlog catch-up for mid-cycle billing,2,2,2
TRX-2107,2,2024-04-07T16:37:00Z,7050.00,1410.00,352.50,126.90,6006.60,846.00,6570.60,2024-04-19,CHARGEBACK,DD_PORTAL,INV-2024-0207,https://cdn.dd-portal.local/invoices/INV-2024-0207.pdf,Checkout.com,Chargeback initiated by card issuer,2,2,2
TRX-2201,3,2024-03-15T10:20:00Z,980.00,196.00,49.00,17.64,795.76,78.40,913.36,2024-03-27,PENDING,AD_PORTAL,INV-2024-0301,https://cdn.ad-portal.local/invoices/INV-2024-0301.pdf,Stripe,Pending buyer confirmation on preorder bundle,3,3,3
TRX-2202,3,2024-03-18T12:55:00Z,1020.00,204.00,51.00,18.36,746.64,0.00,950.64,2024-03-30,PAID,AD_PORTAL,INV-2024-0302,https://cdn.ad-portal.local/invoices/INV-2024-0302.pdf,Square,Settlement for expedited dataset release,3,3,3
TRX-2203,3,2024-03-21T08:42:00Z,915.00,183.00,45.75,16.47,669.78,0.00,852.78,2024-04-02,SETTLED,AD_PORTAL,INV-2024-0303,https://cdn.ad-portal.local/invoices/INV-2024-0303.pdf,Stripe,SaaS pilot tranche confirmed,3,3,3
TRX-2204,3,2024-03-26T14:18:00Z,975.00,195.00,48.75,17.55,713.70,0.00,908.70,2024-04-07,PAID,AD_PORTAL,INV-2024-0304,https://cdn.ad-portal.local/invoices/INV-2024-0304.pdf,Adyen,Release of staged payment milestone,3,3,3
TRX-2205,3,2024-03-31T09:05:00Z,990.00,198.00,49.50,17.82,793.98,69.30,922.68,2024-04-12,ON_HOLD,AD_PORTAL,INV-2024-0305,https://cdn.ad-portal.local/invoices/INV-2024-0305.pdf,Stripe,Hold pending updated billing address,3,3,3
TRX-2206,3,2024-04-04T18:30:00Z,1005.00,201.00,50.25,18.09,826.11,90.45,936.66,2024-04-16,IN_REVIEW,AD_PORTAL,INV-2024-0306,https://cdn.ad-portal.local/invoices/INV-2024-0306.pdf,Square,QA review for invoice metadata mismatch,3,3,3
